site name,"X position of site
(% of segment length)","Y position of site
(% of segment length)","Z position of site
(% of segment length)",segment left/right
seventh_cervicale,-0.061,0.028,0,thorax
suprasternale,0.049,-0.035,0,thorax
acromion_right,-0.034,-0.038,0.178,thorax
acromion_left,-0.034,-0.038,-0.178,thorax
shoulder_joint_centre_right,0.014,-0.084,0.178,thorax
shoulder_joint_centre_left,0.014,-0.084,-0.178,thorax
thoracic_joint_centre,0,-0.313,0,thorax
centre_of_mass_thorax,0.007,-0.165,0,thorax
midspine_at_tenth_rib_level,-0.053,-0.001,0,abdomen
tenth_rib_right,0.032,-0.021,0.134,abdomen
tenth_rib_left,0.032,-0.021,-0.134,abdomen
iliocristale_right,0.017,-0.075,0.153,abdomen
iliocristale_left,0.017,-0.075,-0.153,abdomen
anterior_superior_iliac_spine_right,0.072,-0.172,0.119,abdomen
anterior_superior_iliac_spine_left,0.072,-0.172,-0.119,abdomen
lumbar_joint_centre,0,-0.121,0,abdomen
centre_of_mass_abdomen,0.029,-0.05,0,abdomen
midpoint_between_postero_superior_iliac_spines,-0.108,-0.013,0,pelvis
right_antero_superior_iliac_spine,0.087,-0.013,0.119,pelvis
left_antero_superior_iliac_spine,0.087,-0.013,-0.119,pelvis
symphision,0.123,-0.097,0,pelvis
hip_joint_centre_right,0.054,-0.093,0.088,pelvis
hip_joint_centre_left,0.054,-0.093,-0.088,pelvis
centre_of_mass_pelvis,-0.001,-0.025,0,pelvis
head_vertex,0,0.221,0,head
sellion,0.079,0.127,0,head
occiput,-0.099,0.095,0,head
centre_of_mass_head,-0.015,0.132,0,head
lateral_humeral_epicondyle_right,0,-0.221,0.034,right_upper_arm
lateral_humeral_epicondyle_left,0,-0.221,-0.034,left_upper_arm
medial_humeral_epicondyle_right,0,-0.238,-0.034,right_upper_arm
medial_humeral_epicondyle_left,0,-0.238,0.034,left_upper_arm
centre_of_mass_right_upper_arm,0.002,-0.102,0.005,right_upper_arm
centre_of_mass_left_upper_arm,0.002,-0.102,-0.005,left_upper_arm
olecranion_right,-0.012,0.008,-0.019,right_forearm
olecranion_left,-0.012,0.008,0.019,left_forearm
ulnar_styloid_right,0,-0.242,-0.027,right_forearm
ulnar_styloid_left,0,-0.242,0.027,left_forearm
radial_styloid_right,0,-0.252,0.027,right_forearm
radial_styloid_left,0,-0.252,-0.027,left_forearm
centre_of_mass_right_forearm,0.005,-0.102,0.005,right_forearm
centre_of_mass_left_forearm,0.005,-0.102,-0.005,left_forearm
secnd_metacarpal_head_right,0,-0.079,0.038,right_hand
secnd_metacarpal_head_left,0,-0.079,-0.038,left_hand
fifth_metacarpal_head_right,0,-0.063,-0.038,right_hand
fifth_metacarpal_head_left,0,-0.063,0.038,left_hand
third_finger_tip_right,0.014,-0.166,-0.013,right_hand
third_finger_tip_left,0.014,-0.166,0.013,left_hand
centre_of_mass_right,0.005,-0.055,0.003,right_hand
centre_of_mass_left,0.005,-0.055,-0.003,left_hand
greater_trochanter_right,-0.019,0.008,0.087,right_thigh
greater_trochanter_left,-0.019,0.008,-0.087,left_thigh
lateral_femoral_epicondyle_right,0,-0.375,0.057,right_thigh
lateral_femoral_epicondyle_left,0,-0.375,-0.057,left_thigh
medial_femoral_epicondyle_right,0,-0.382,-0.057,right_thigh
medial_femoral_epicondyle_left,0,-0.382,0.057,left_thigh
centre_of_mass_left_thigh,-0.029,-0.143,0.003,right_thigh
centre_of_mass_right_thigh,-0.029,-0.143,-0.003,left_thigh
tibiale_head_right,0.008,-0.022,-0.039,right_shank
tibiale_head_left,0.008,-0.022,0.039,left_shank
fibula_head_right,0,-0.04,0.06,right_shank
fibula_head_left,0,-0.04,-0.06,left_shank
sphyrion_right,0.01,-0.387,-0.031,right_shank
sphyrion_left,0.01,-0.387,0.031,left_shank
lateral_malleolus_right,-0.01,-0.39,0.031,right_shank
lateral_malleolus_left,-0.01,-0.39,-0.031,left_shank
centre_of_mass_right_shank,-0.019,-0.157,0.012,right_shank
centre_of_mass_left_shank,-0.019,-0.157,-0.012,left_shank
calcaneous_right,-0.059,-0.046,0.012,right_foot
calcaneous_left,-0.059,-0.046,-0.012,left_foot
first_metatarsal_head_right,0.116,-0.046,-0.033,right_foot
first_metatarsal_head_left,0.116,-0.046,0.033,left_foot
fifth_metatarsal_head_right,0.097,-0.046,0.057,right_foot
fifth_metatarsal_head_left,0.097,-0.046,-0.057,left_foot
second_toe_tip_right,0.174,-0.054,0.009,right_foot
second_toe_tip_left,0.174,-0.054,-0.009,left_foot
centre_of_mass_right_foot,0.045,-0.036,0.006,right_foot
centre_of_mass_left_foot,0.045,-0.036,-0.006,left_foot
