site name,"X position of site
(% of segment length)","Y position of site
(% of segment length)","Z position of site
(% of segment length)",segment left/right
seventh_cervicale,-0.072,0.026,0,thorax
suprasternale,0.051,-0.039,0,thorax
acromion_right,-0.027,-0.045,0.206,thorax
acromion_left,-0.027,-0.045,-0.206,thorax
shoulder_joint_centre_right,0.019,-0.083,0.206,thorax
shoulder_joint_centre_left,0.019,-0.083,-0.206,thorax
thoracic_joint_centre,0,-0.334,0,thorax
centre_of_mass_thorax,0,-0.185,0.001,thorax
midspine_at_tenth_rib_level,-0.058,-0.025,0,abdomen
tenth_rib_right,0.033,-0.031,0.147,abdomen
tenth_rib_left,0.033,-0.031,-0.147,abdomen
iliocristale_right,0.02,-0.08,0.157,abdomen
iliocristale_left,0.02,-0.08,-0.157,abdomen
anterior_superior_iliac_spine_right,0.069,-0.179,0.112,abdomen
anterior_superior_iliac_spine_left,0.069,-0.179,-0.112,abdomen
lumbar_joint_centre,0,-0.151,0,abdomen
centre_of_mass_abdomen,0.026,-0.055,0,abdomen
midpoint_between_postero_superior_iliac_spines,-0.102,0.007,0,pelvis
antero_superior_iliac_spine_right,0.078,0.007,0.112,pelvis
antero_superior_iliac_spine_left,0.078,0.007,-0.112,pelvis
symphision,0.123,-0.067,0,pelvis
hip_joint_centre_right,0.056,-0.075,0.081,pelvis
hip_joint_centre_left,0.056,-0.075,-0.081,pelvis
centre_of_mass_pelvis,-0.003,-0.026,0,pelvis
head_vertex,0,0.277,0,head
sellion,0.105,0.173,0,head
occiput,-0.073,0.1,0,head
centre_of_mass_head,-0.006,0.149,0,head
lateral_humeral_epicondyle_right,0,-0.258,0.041,right_upper_arm
lateral_humeral_epicondyle_left,0,-0.258,-0.041,left_upper_arm
medial_humeral_epicondyle_right,0,-0.264,-0.041,right_upper_arm
medial_humeral_epicondyle_left,0,-0.264,0.041,left_upper_arm
centre_of_mass_upper_arm_right,0.005,-0.118,0.007,right_upper_arm
centre_of_mass_upper_arm_left,0.005,-0.118,-0.007,left_upper_arm
olecranion_right,-0.008,0.014,-0.022,right_forearm
olecranion_left,-0.008,0.014,0.022,left_forearm
ulnar_styloid_right,0,-0.284,-0.033,right_forearm
ulnar_styloid_left,0,-0.284,0.033,left_forearm
radial_styloid_right,0,-0.284,0.033,right_forearm
radial_styloid_left,0,-0.284,-0.033,left_forearm
centre_of_mass_forearm_right,0.003,-0.118,0.004,right_forearm
centre_of_mass_forearm_left,0.003,-0.118,-0.004,left_forearm
secnd_metacarpal_head_right,0,-0.086,0.046,right_hand
secnd_metacarpal_head_left,0,-0.086,-0.046,left_hand
fifth_metacarpal_head_right,0,-0.075,-0.046,right_hand
fifth_metacarpal_head_left,0,-0.075,0.046,left_hand
third_finger_tip_right,0.007,-0.189,-0.001,right_hand
third_finger_tip_left,0.007,-0.189,0.001,left_hand
centre_of_mass_right,0.007,-0.068,0.006,right_hand
centre_of_mass_left,0.007,-0.068,-0.006,left_hand
greater_trochanter_right,-0.04,0.006,0.101,right_thigh
greater_trochanter_left,-0.04,0.006,-0.101,left_thigh
lateral_femoral_epicondyle_right,0,-0.431,0.057,right_thigh
lateral_femoral_epicondyle_left,0,-0.431,-0.057,left_thigh
medial_femoral_epicondyle_right,0,-0.432,-0.057,right_thigh
medial_femoral_epicondyle_left,0,-0.432,0.057,left_thigh
centre_of_mass_thigh_right,-0.018,-0.185,0.014,right_thigh
centre_of_mass_thigh_left,-0.018,-0.185,-0.014,left_thigh
tibiale_head_right,0.021,-0.027,-0.042,right_shank
tibiale_head_left,0.021,-0.027,0.042,left_shank
fibula_head_right,0,-0.023,0.047,right_shank
fibula_head_left,0,-0.023,-0.047,left_shank
sphyrion_right,0.021,-0.434,-0.033,right_shank
sphyrion_left,0.021,-0.434,0.033,left_shank
lateral_malleolus_right,-0.021,-0.433,0.033,right_shank
lateral_malleolus_left,-0.021,-0.433,-0.033,left_shank
centre_of_mass_shank_right,-0.021,-0.178,0.003,right_shank
centre_of_mass_shank_left,-0.021,-0.178,-0.003,left_shank
calcaneous_right,-0.046,-0.021,0.007,right_foot
calcaneous_left,-0.046,-0.021,-0.007,left_foot
first_metatarsal_head_right,0.146,-0.021,-0.047,right_foot
first_metatarsal_head_left,0.146,-0.021,0.047,left_foot
fifth_metatarsal_head_right,0.128,-0.021,0.06,right_foot
fifth_metatarsal_head_left,0.128,-0.021,-0.06,left_foot
second_toe_tip_right,0.219,-0.009,-0.001,right_foot
second_toe_tip_left,0.219,-0.009,0.001,left_foot
centre_of_mass_foot_right,0.045,-0.036,0.006,right_foot
centre_of_mass_foot_left,0.045,-0.036,-0.006,left_foot
metatarsal_midpoint_right,0.104,0,0,right_foot
metatarsal_midpoint_left,0.104,0,0,left_foot
